"SITECODE","DESIGNATIONCODE","DESIGNATEDSITENAME","OVERLAPCODE","OVERLAPPERC"
"FR5200630","FR13","Site de la Baumette","*",0
"FR5200630","IN05","Val de Loire entre Sully-sur-Loire et Chalonnes","*",4
"FR5200635","FR00","","",100
"FR5200636","FR15","Loire-Anjou-Touraine","-",100
"FR5200639","FR12","site inscrit de la vallée de l'Erve","*",90
"FR5200640","FR04","","",1
"FR5200640","FR05","Lande humide de Villepail","*",0
"FR5200646","FR12","","",12
"FR5200646","FR13","","",83
"FR5200646","FR13","site classé des Alpes mancelles","-",83
"FR5200646","FR15","","",100
"FR5200647","FR23","Forêt domaniale de BERCE","*",35
"FR5200649","FR04","site urbain de la flèche","",
"FR5200650","FR23","Forêt domaniale de Sillé","-",100
"FR5200652","FR12","","",100
"FR5200653","FR03","","",0
"FR5200653","FR14","","",0
"FR5200653","FR23","","",4
"FR5200654","FR13","","",83
"FR5200655","FR13","","",50
"FR5200656","FR11","Forêt d'Olonne","",30
"FR5200656","FR14","","",5
"FR5200657","FR12","","",80
"FR5200657","FR14","","",8
"FR5200659","FR03","Saint-Denis-du-Payré","+",0
"FR5200659","FR04","RNV de la ferme de Choisy","*",0
"FR5202001","","Cavité souterraine de la cave Billard au Vaudelnay","*",50
"FR5202001","FR15","","",100
"FR5202001","FR15","Loire-Anjou-Touraine","-",100
"FR5202001","FR99","","",50
"FR5202001","FR99","propriété LPO","*",50
"FR5202006","FR15","","",70
"FR5202007","FR13","Abords du chateau du Rocher","*",2
"FR5210008","IN01","","",44
"FR5210008","IN01","LAC DE GRAND-LIEU","+",44
"FR5210090","FR13","","",70
"FR5210090","FR15","","",0
"FR5210090","FR15","Brière","/",0
"FR5210090","FR18","","",30
"FR5210103","FR18","réserve du banc de Bilho","*",1
"FR4100211","FR15","FC de Jussarupt","",
"FR4100212","IN03","Réserve des Vosges du Nord","+",100
"FR4100214","FR05","","",65
"FR4100214","FR31","Tourbière de Vittoncourt (33,86 ha)","+",100
"FR4100216","FR31","","",18
"FR4100219","FR15","Lorraine","*",100
"FR4100220","FR15","","",79
"FR4100220","FR23","","",58
"FR4100222","FR17","","",95
"FR4100228","FR15","","",4
"FR4100228","FR31","","",0
"FR4100230","FR31","Propriété CSL ""Liffol le Grand"" 2 ha","",
"FR4100231","FR31","Pré de la Salière+tourbière de Chateau-Bréhain","-",1
"FR4100232","FR15","Lorraine","*",70
"FR4100234","FR31","Acquisition CSL""Prairies humides"" : 72 ha (1998)","+",3
"FR4100236","FR15","","",10
"FR4100236","FR15","Lorraine","*",10
"FR4100238","FR31","","",2
"FR4100238","FR31","Prairies à Maculinea nausithous d'Etival-Clairefontaine","+",2
"FR4100240","FR24","","",40
"FR4100241","FR00","","",100
"FR4100243","FR15","","",100
"FR4100244","FR31","","",2
"FR4100244","FR31","Marais de Francaltroff/Erstroff Léning, Eberswinkel","+",2
"FR4100247","FR00","","",100
"FR4102002","FR23","","",5
"FR4110007","FR14","Etangs de Pannes","+",1
"FR4110060","FR23","","",
"FR4110060","IN00","","",100
"FR4112000","FR31","","",1
"FR4112001","FR23","","",50
"FR4112002","FR15","Lorraine","-",100
"FR4112004","FR15","Lorraine","-",100
"FR4112006","FR03","","",5
"FR4112006","IN03","Vosges du Nord","",100
"FR4112007","FR07","","",100
"FR4112008","FR15","","",
"FR4112009","FR13","","",0
"FR4112009","FR13","Terrasse de Beaulieu","+",0
"FR4112009","FR13","Vallon de Saint-Rouin","+",0
"FR4112009","FR23","Forêt domaniale de Beaulieu","+",17
"FR4112011","FR23","","",2
"FR4201795","FR05","APB Falkensteinerbach et APB combles de l'église de Dambach","+",1
"FR4201795","FR05","Souterrains d'Ingwiller-Weierle","*",0
"FR4201795","FR06","","",2
"FR4201795","FR07","","",2
"FR4201795","FR15","Vosges du Nord","-",96
"FR4201796","FR31","Parcelles acquises par le Conservatoire des Sites Alsaciens","",1
"FR4201797","FR04","RNVA de l'Illwald et d'Herbsheim","+",15
"FR4201797","FR05","APB du plan d'eau de Plobsheim, de l'étang de Rustloch","+",1
"FR4201797","FR11","FP de Daubensand, Erstein...","",17
"FR5300006","FR12","ABORDS DE LA CHAPELLE SAINTE-BARBE","*",
"FR5300006","FR12","LES ROCHES DU DIABLE","*",
"FR5300007","FR05","Landes de Locarn","+",12
"FR5300007","FR32","","",10
"FR5300008","FR14","","",2
"FR5300008","FR14","PORS MABO-BEG LEGUER","*",1
"FR5300009","FR03","LES SEPT ILES","+",5
"FR5300009","FR18","Sept Iles","+",
"FR5300010","FR12","Trégor Goëlo","*",10
"FR5300010","FR14","LE GOUFFRE","+",1
"FR5300013","FR05","","",30
"FR5300013","FR13","","",0
"FR5300013","FR15","","",90
"FR5300014","FR13","","",70
"FR5300014","FR15","Armorique","",
"FR5300015","FR05","","",1
"FR5300015","FR05","ILOTS DE LA BAIE DE MORLAIX","+",1
"FR5300015","FR13","","",4
"FR5300017","FR12","SITE DES ABERS","*",1
"FR5300018","FR03","Iroise","*",1
"FR5300018","FR14","Iroise","*",1
"FR5300018","FR18","Iroise","*",25
"FR5300018","IN03","","",35
"FR5300019","FR13","","",70
"FR5300019","FR15","Armorique","-",100
"FR5300020","FR14","POINTE DE CASTELMEUR","+",1
"FR5300021","FR14","","",17
"FR5300021","FR14","BAIE D'AUDIERNE","+",17
"FR5300023","FR03","Saint Nicolas des Glénan","+",1
"FR5300023","FR05","Archipel des Glénan","+",1
"FR5300023","FR13","","",50
"FR5300023","FR18","Drénec, Brunec, le Veau, la Tombe","+",12
"FR5300023","IN01","","",1
"FR5300024","FR15","","",30
"FR5300025","FR23","","",84
"FR5300027","FR05","Ilot de Roélan","/",0
"FR5300027","FR14","DUNE DE MAT FENOUX","+",4
"FR5300027","FR23","","",6
"FR5300028","FR05","","",1
"FR5300028","FR12","Site de Saint-Cado","+",1
"FR5300029","FR05","","",0
"FR5300029","FR14","PENHAP","+",0
"FR5300031","FR03","François le Bail - Ile de Groix","+",1
"FI0500156","FI16","Vankkäänsuon luonnonsuojelualue 3","",0
"FI0500171","FI16","Savonlinnan saarten luonnonsuojelualue","",0
"FI0500176","FI03","Pyysaarten luonnonsuojelualue","",0
"FI0500176","FI03","Revonsaarten luonnonsuojelualue","",0
"FI0500176","FI13","","",0
"FI0500176","FI16","Laajaluodon ja Rahkosensaarten ryhmä (luonnonsuojelualue)","",0
"FI0500202","FI16","","",100
"FI0500222","FI00","","",100
"FI0500231","FI00","","",100
"FI0500236","FI00","","",0
"FI0600002","FI00","","",62
"FI0600008","FI00","","",100
"FI0600015","FI00","","",0
"FI0600018","FI00","","",100
"FI0600020","FI00","","",7
"FI0600026","FI03","","",48
"FI0600027","FI00","","",100
"FI0600029","FI00","","",96
"FI0600030","FI00","","",100
"FI0600031","FI16","","",0
"FI0600034","FI00","","",100
"FI0600036","FI16","","",1
"FI0600043","FI00","","",100
"FI0600049","FI16","","",81
"FI0600051","FI00","","",100
"FI0600053","FI00","","",100
"FI0600055","FI00","","",100
"FI0600057","FI03","","",95
"FI0600069","FI00","","",100
"FI0600071","FI00","","",26
"FI0600071","FI03","Heinäsuo-Sammakkosuo soidensuojelualue","+",100
"FI0600073","FI00","","",100
"FI0600076","FI03","","",36
"FI0600084","FI16","","",7
"FI0600104","FI00","","",100
"FI0600112","FI00","","",0
"FI0700001","IN04","Sysmäjärvi (IBA)","",0
"FI0700005","IN04","Joki-Hautalampi (IBA)","",0
"FI0700007","FI00","","",100
"FI0700008","FI00","","",100
"FI0700008","IN05","Hovinlampi","",0
"FI0700009","IN04","Peijonniemenlahti (IBA)","",0
"FI0700011","FI00","","",84
"FI0700011","FI16","","",16
"FI0700014","FI00","","",9
"FI0700017","FI00","","",99
"FI0700018","FI00","","",99
"FI0700034","FI00","","",100
"FI0700036","FI00","","",42
"FI0700038","FI00","","",45
"FI0700040","FI00","","",100
"FI0700043","FI03","Ruosmesuon-Hanhisuon soidensuojelualue","+",100
"FI0700044","FI02","","",16
"FI0700044","IN02","Pohjois-karjalan biosfäärialue","-",100
"FI0700045","FI03","","",61
"FR5210115","FR19","","",1
"FR5212002","FR04","PONT BARRE","+",
"FR5212002","FR05","","",1
"FR5212002","FR05","Grèves du Bois vert","+",
"FR5212002","IN00","BASSES VALLEES ANGEVINES, MARAIS DE BASSE-MAINE ET DE SAINT-","/",
"FR5212003","IN00","","",
"FR5212003","IN00","BASSES VALLEES ANGEVINES, MARAIS DE BASSE-MAINE","/",
"FR5212004","FR12","","",20
"FR5212004","FR13","site classé de la vallée de l'Erdre","*",18
"FR5212006","FR00","","",
"FR5212007","FR12","La grande Birère","*",5
"FR5212007","FR14","ETANG DU PONT DE FER","+",1
"FR5212007","FR15","Brière","*",20
"FR5212008","FR04","","",
"FR5212008","IN00","Grande Brière","",
"FR5212009","FR12","","",1
"FR5212010","FR11","Forêt d'Olonne","",30
"FR5212012","FR05","","",1
"FR5300002","FR32","","",4
"FR5300004","FR15","","",4
"FR5300005","FR32","","",15
"FR4100197","FR06","RBD des Grandes Ronces et des Hautes Pinasses (14.13 ha)","+",2
"FR4100197","FR07","","",2
"FR4100197","FR13","","",50
"FR4100197","FR15","","",100
"FR4100198","FR05","","",37
"FR4100198","FR15","","",60
"FR4100198","FR15","Ballons des Vosges","-",100
"FR4100198","FR23","","",100
"FR4100199","FR05","","",0
"FR4100199","FR05","PNR Ballons des Vosges","-",100
"FR4100199","FR13","","",49
"FR4100202","FR04","RNV de la Tourbière de la Charme (20 ha)","-",6
"FR4100202","FR08","","",11
"FR4100202","FR15","","",100
"FR4100202","FR15","Ballons des Vosges","+",100
"FR4100202","FR31","","",6
"FR4100203","FR15","Ballons des Vosges","+",100
"FR4100204","FR12","","",100
"FR4100205","FR12","","",100
"FR4100206","FR05","","",9
"FR4100206","FR05","FC de la Bresse","*",
"FR4100206","FR15","","",100
"FR4100206","FR15","Ballons des Vosges","-",100
"FR4100206","FR24","","",100
"FR4100208","FR05","APB Rothenberg, petit Steinberg","+",1
"FR4100208","FR07","","",3
"FR4100208","IN03","","",100
"FR4100209","FR24","FC de Gerbamont et de Basse-sur-le-Rupt","",
"FR5300031","FR14","Groix côte sud","+",1
"FR5300032","FR05","","",1
"FR5300032","FR12","Site de la Pointe de Pouldon","+",1
"FR5300032","FR14","Site de Vazen","+",1
"FR5300033","FR12","","",1
"FR5300034","FR05","","",1
"FR5300034","FR13","","",2
"FR5300034","FR13","LA MINE D'OR","+",2
"FR5300034","IN00","Marais salants de Guérande et du Més","*",4
"FR5300035","FR12","","",60
"FR5300035","FR12","VALLEE DE POULANCRE","*",
"FR5300039","FR23","","",5
"FR5300040","FR13","Chaos de Huelgoat et Gouffre de la Rivière d'Argent","",1
"FR5300040","FR15","Armorique","-",100
"FR5300043","FR05","","",18
"FR5300045","FR13","","",34
"FR5300045","FR14","LES BLANCS SABLONS","*",20
"FR5300046","FR18","","",72
"FR5300048","FR14","","",23
"FR5300048","FR14","MARAIS DE MOUSTERLIN","*",20
"FR5300048","FR23","","",15
"FR5300049","FR13","TREVIGNON","*",6
"FR5300052","FR14","ANSE DU VERGER","+",2
"FR5300052","FR18","","",37
"FR5300052","IN00","Baie du Mont Saint Michel","/",0
"FR5300059","FR14","Abbaye Saint-Maurice","*",1
"FR5300061","FR13","","",100
"FR5300066","FR03","","",10
"FR5302006","FR13","","",7
"FR5302006","FR99","Parc Naturel Marin d'Iroise","-",100
"FR5310052","FR18","","",99
"FR5310057","FR13","Glenan","*",55
"FR5310057","FR14","","",1
"FR5310070","FR14","","",
"FR5310072","FR14","","",1
"FR5310072","FR18","","",25
"FR5310072","FR99","Parc naturel marin d'iroise","*",98
"FR5310073","FR12","","",2
"FR5310086","FR05","","",1
"FR5310086","FR14","","",5
"FR5310086","IN00","","",80
"FI0500108","FI00","","",100
"FI0500111","FI00","","",100
"FI0500113","FI00","","",100
"FI0500115","FI00","","",100
"FI0500116","FI16","Hirvijärvenkallion luonnonsuojelualue","",0
"FI0500130","FI00","","",100
"FI0500133","FI00","","",100
"FI0500140","FI16","Lautalammen luonnonsuojelualue","=",100
"FI0500144","FI00","","",90
"FI0500144","FI16","","",10
"FI0500155","FI16","Lehmilammen lehto (luonnonsuojelualue)","",0
"FI0700047","FI02","","",81
"FI0700047","IN04","","+",100
"FI0700047","IN05","Patvinsuo national park","+",100
"FI0700050","FI03","","",23
"FI0700051","FI03","","",100
"FI0700055","FI00","","",100
"FI0700059","FI00","","",100
"FI0700067","FI00","","",100
"FI0700068","FI00","","",100
"FI0700070","FI16","","",12
"FI0700076","FI00","","",100
"FI0700077","FI00","","",100
"FI0700081","FI00","","",100
"FI0700082","FI00","","",100
"FI0700083","FI00","","",100
"FI0700088","FI16","","",35
"FI0700091","FI00","","",99
"FI0700094","FI00","","",100
"FI0700102","FI16","","",100
"FI0700107","FI00","","",100
"FI0700115","FI00","","",100
"FI0700126","FI00","","",100
"FI0700128","FI00","","",100
"FI0700134","FI00","","",100
"FI0700136","FI00","","",100
"FI0700138","FI00","","",100
"FR5310092","IN00","","",89
"FR5310092","IN00","ETIER DE PENERF","*",89
"FR5310095","FR13","Cap d'Erquy","*",1
"FR5310095","FR18","","",10
"FR5310095","FR18","Cap Fréhel","+",5
"FR5312002","FR13","","",100
"FR5312002","FR32","","",100
"FR5312004","FR13","","",35
"FR5312005","FR14","","",15
"FR5312009","FR13","","",2
"FR5312010","FR14","Kerouiny","+",3
"FR5312011","FR13","","",15
"FR5312012","FR05","","",12
"FR5400410","FR13","","",1
"FR5400411","FR05","","",100
"FR5400424","FR14","","",3
"FR5400424","FR14","LE MARTRAY","+",1
"FR5400424","FR14","PRISE DE LA LASSE","+",1
"FR5400425","FR14","","",15
"FR5400425","FR14","LES EVIERES","*",15
"FR5400429","FR14","BAIE DE ROUSSIES","+",1
"FR5400431","FR03","","",24.4
"FR5400431","FR04","LA MASSONE","*",0
"FR5400431","FR14","MARAIS DE BROUAGE","+",4
"FR5400431","FR14","MARAIS DU DOUHET","*",0
"FR5400431","FR14","TANNES D'ARCEAU","+",
"FR5400431","FR31","","",0.8
"FR5400431","FR35","","",0.12
"FR5400432","FR20","","",6
"FR5400433","FR05","","",0
"FR5400433","FR12","","",100
"FR5400433","FR14","","",2
"FR5400434","FR11","","",60
"FR5400434","FR18","","",6
"FR5400434","FR23","La Coubre","+",44
"FR5400435","FR00","","",66
"FR5400438","FR12","","",9
"FR5400438","FR14","","",1
"FR5400438","FR14","FORET DE SUZAC","+",1
"FR5400439","FR13","","",1
"FR5400442","FR00","","",100
"FR5400446","FR03","BAIE DE L'AIGUILLON","+",5
"FR5400446","FR13","","",12
"FR5400446","FR31","","",12
"FR5400446","FR35","","",1
"FR5400448","FR05","","",15
"FR5400448","FR99","","",100
"FR5400457","FR05","La Garenne","*",1
"FR5400457","FR31","","",5
"FR5400460","FR05","Tourbière des Régeasses","+",1
"FR5400462","FR05","Les Portes d'enfer","+",
"FR5400463","FR00","","",100
"FR5400467","FR05","Bois du Paradis et mare du moulin de Saint Maixent","*",1
"FR5400469","FR03","BAIE DE L'AIGUILLON","*",0
"FR5400472","FR12","","",0
"FR5400473","FR00","","",100
"FR5400535","FR15","","",75
"FR5402008","FR00","","",100
"FR5410012","FR03","","",1
"FR5410012","FR13","","",99
"FR5410012","FR18","","",25
"FR5410013","FR05","","",0
"FR5410013","FR18","","",9
"FR5410014","FR03","Pinail","+",3
"FR5410014","FR23","Forêt Domaniale de Moulière","+",60
"FR5410100","FR03","","",10
"FR5412007","FR00","","",100
"FR5412012","FR18","La Bonne Anse","+",85
"FR5412013","FR00","","",100
"FR5412015","FR05","","",13
"FR7200660","FR05","Iles du barrage","+",1
"FR7200663","FR15","","",31
"FR7200663","FR31","","",1
"FR7200664","FR05","Sites à faucon pélerin","*",1
"FR7200669","FR00","","",100
"FR7200677","FR14","FORET DE SUZAC","/",0
"FR7200677","FR14","ILE NOUVELLE","+",1
"FR7200678","FR12","","",30
"FR7200678","FR23","","",80
"FR7200678","FR24","","",4
"FR7200679","FR15","Landes de Gascogne","*",32
"FR7200679","FR32","","",1
"FR7200681","FR03","","",80
"FR7200681","FR24","","",6
"FR7200682","FR20","","",1
"FR7200684","FR20","","",1
"FR7200687","FR03","","",100
"FR7200690","FR20","","",13
"FR7200690","FR20","Réserve de Chasse approuvée","*",18
"FR7200691","FR00","","",100
"FR7200692","FR00","","",100
"FR7200693","FR12","Chapelle St clair des Gouts","+",
"FR4201797","FR20","Réserve de chasse de Marckolsheim à Strasbourg","",17
"FR4201797","FR24","Forêt communale de Mothern, Munchausen...","",15
"FR4201797","FR31","","",0
"FR4201799","FR05","","",3
"FR4201799","FR05","APB du Rehbach","+",1
"FR4201799","FR05","Rochers du Geierstein et du Fallenkopf","+",2
"FR4201799","FR24","","",31
"FR4201801","FR06","","",0
"FR4201801","FR08","","",0
"FR4201801","FR24","","",50
"FR4201802","FR07","Réserve biologique domaniale dirigée du Hochfeld","",5
"FR4201803","FR12","Massif des Vosges","",84
"FR4201805","FR15","","",100
"FR4201806","FR15","Ballons des Vosges","*",82
"FR4201806","FR31","Conservatoire des Sites Alsaciens","",1
"FR4201807","FR05","La Tête des Faux","+",1
"FR4201807","FR05","Le Klintzkopf","+",1
"FR4201807","FR05","Ronde-tête, Bramont","+",1
"FR4201807","FR08","Réserve forestière intégrale de la RN Du Frankenthal","+",5
"FR4201807","FR15","Ballons des Vosges","-",100
"FR4201807","FR23","","",7
"FR4201810","FR04","Réserve Naturelle Volontaire de Michelbach","+",10
"FR4201811","FR32","","",1
"FR4201813","FR23","Forêt domaniale de la Hardt Nord et du Kastenwald","",56
"FR4202000","FR03","","",3
"FR4202000","FR12","","",61
"FR4202002","FR13","","",18
"FR4202002","FR24","","",58
"FR4202003","FR00","","",100
"FR4202004","FR15","","",100
"FR4202004","FR23","","",3
"FR4202004","FR24","","",55
"FR4211799","FR08","","",1
"FR4211799","FR15","","",100
"FR4211799","FR17","La Petite Pierre","+",8
"FR4211799","FR23","","",55
"FR4211799","FR24","Forêts communales de Dossenheim, Dettwiller, Ernolsheim","",30
"FR4211807","FR03","","",5
"FR4211807","FR03","Réserve Naturelle du Frankenthal-Misseimle","+",3
"FR4211807","FR03","Réserve Naturelle du Massif du Grand Ventron","*",4
"FR4211807","FR05","APB du Grand Ballon","+",0
"FR4211807","FR05","Langenfeldkopf","+",1
"FR4211807","FR07","","",1
"FR7200708","FR99","","",100
"FR7200710","FR23","","",82
"FR7200711","FR23","","",100
"FR7200712","FR12","","",100
"FR7200712","FR14","","",41
"FR7200713","FR32","","",1
"FR7200714","FR15","Landes de Gascogne","/",0
"FR7200714","FR24","","",2
"FR7200716","FR12","","",90
"FR7200716","FR21","","",
"FR7200716","FR32","Maoucout","",1
"FR7200716","FR32","Moulin de Loupsat aval","",2
"FR7200717","FR03","","",3
"FR7200717","FR03","Etang Noir","*",3
"FR7200717","FR12","","",1
"FR7200717","IN01","","",3
"FR7200719","FR03","Marais d'Orx","+",72
"FR7200720","FR05","Barthe de Saint Martin de Seignanx","*",3
"FR7200720","FR05","Réserve de Lesgau","+",2
"FR7200720","FR13","","",1
"FR7200720","FR20","","",4
"FR7200722","FR17","","",0
"FR7200724","FR18","","",1
"FR7200724","FR19","","",1
"FR7200736","FR00","","",100
"FR7200738","FR03","","",90
"FR7200742","FR03","Vallée d'Ossau","+",100
"FR7200743","FR01","","",100
"FR7200744","FR11","","",10
"FR7200744","FR16","","",69
"FR7200744","FR16","Pyrénées [aire d'adhésion]","*",69
"FR7200746","FR16","","",67
"FR7200750","FR03","","",1
"FR7200750","FR12","","",3
"FR7200752","FR12","","",1
"FR7200754","FR24","","",35
"FR7200759","","Tourbières du Mondarrain","+",100
"FR7200759","FR12","Ensemble dit du Labourd","*",
"FR7200760","FR24","","",42
"FR7200770","FR13","","",100
"FR7200774","FR18","","",100
"FR7200775","FR18","","",1
"FR7200781","FR12","","",1
"FR7200790","FR00","","",100
"FR7200803","FR00","","",100
"FR7200806","FR00","","",100
"FR7210029","FR03","","",100
"FR7210030","FR11","","",
"FR7210063","FR14","","",98
"FR7210077","FR13","","",
"FR7210078","FR15","","",55
"FR7210089","FR16","","",100
"FR7210089","IN01","","",100
"FR7212001","FR17","","",100
"FR7212008","FR12","","",1
"FR7300825","FR23","","",43
"FR7300829","FR05","QUIES CALCAIRES DE TARASCON  ET GROTTE DE LA PETITE CAOUGNO","+",18
"FR7300831","FR17","Orlu","+",40
"FR7300831","FR23","","",50
"FR7300836","FR05","Grotte d'Aubert","+",0
"FR7300836","FR05","Montagne de Sourroque","*",0
"FR7300838","FR00","","",100
"FR7300838","FR05","","",100
"FR7300839","FR05","","",100
"FR7300839","FR15","","",100
"FR7300840","FR15","","",100
"FR7300841","FR05","","",1
"FR7300847","FR15","Grands Causses","*",95
"FR7300848","FR12","SI Gorges du Tarn","",53
"FR7300848","FR15","","",100
"FR7300849","FR12","","",82
"FR7300849","FR15","","",100
"FR7300849","FR24","","",12
"FR7300850","FR24","","",2
"FR7300851","FR16","Cévennes [aire d'adhésion]","*",6
"FR7300855","FR16","","",0
"FI0700147","FI00","","",0
"FI0800001","FI00","","",27
"FI0800002","FI00","","",53
"FI0800015","FI00","","",24
"FI0800016","FI00","","",36
"FI0800016","FI13","","",64
"FI0800017","FI00","","",100
"FI0800018","FI00","","",100
"FI0800027","FI00","","",99
"FI0800028","FI00","","",100
"FI0800030","FI00","","",54
"FI0800030","FI03","","",46
"FI0800035","FI00","","",100
"FI0800036","FI00","","",46
"FI0800037","FI00","","",16
"FI0800039","FI00","","",100
"FI0800042","FI00","","",100
"FI0800047","FI00","","",100
"FI0800056","FI00","","",100
"FI0800057","FI00","","",100
"FI0800064","FI00","","",100
"FI0800066","FI00","","",100
"FI0800071","FI03","","",53
"FI0800082","FI00","","",100
"FI0800087","FI00","","",99
"FI0800087","FI03","","",1
"FI0800089","FI00","","",15
"FI0800096","FI00","","",95
"FI0800097","FI00","","",100
"FI0800098","FI00","","",100
"FI0800104","FI00","","",100
"FI0800110","FI00","","",100
"FI0800111","FI15","","",25
"FI0800111","FI16","","",6
"FI0800112","FI00","","",100
"FI0800112","FI16","","",0
"FI0800120","FI00","","",33
"FI0800135","FI00","","",99
"FI0800148","FI00","","",100
"FI0800151","FI00","","",100
"FI0800152","FI00","","",100
"FI0800153","FI00","","",100
"FI0800159","FI00","","",100
"FI0800162","FI00","","",100
"FI0900001","FI00","","",100
"FI0900003","FI00","","",100
"FI0900016","FI00","","",96
"FI0900018","FI15","","",21
"FI0900025","FI00","","",88
"FI0900031","FI00","","",100
"FI0900032","FI00","","",98
"FI0900033","FI00","","",100
"FI0900035","FI16","","",7
"FI0900040","FI00","","",71
"FI0900046","FI16","","",32
"FI0900047","FI00","","",100
"FI0900050","FI00","","",100
"FI0900054","FI00","","",100
"FI0900055","FI00","","",100
"FI0900057","FI00","","",60
"FI0900057","FI03","","",40
"FI0900059","FI00","","",100
"FI0900062","FI00","","",100
"FI0900063","FI00","","",100
"FI0900068","FI00","","",100
"FI0900069","FI02","","",59
"FI0900070","FI15","","",16
"FI0900072","FI16","","",1
"FI0900073","FI00","","",50
"FI0900076","FI16","","",2
"FI0900081","FI00","","",100
"FI0900082","FI00","","",100
"FI0900083","FI00","","",100
"FI0900088","FI00","","",100
"FI0900089","FI03","","",93
"FI0900091","FI00","","",24
"FI0900097","FI00","","",100
"FI0900098","FI00","","",100
"FI0900101","FI00","","",75
"FI0900104","FI00","","",92
"FI0900104","FI13","","",3
"FI0900104","FI16","","",0
"FI0900105","FI00","","",83
"FI0900108","FI00","","",51
"FI0900110","FI00","","",52
"FI0900110","FI03","","",48
"FI0900111","FI03","","",76
"FI0900112","FI00","","",26
"FI0900115","FI00","","",100
"FI0900117","FI03","","",87
"FI0900122","FI03","","",57
"FI0900123","FI15","","",1
"FI0900127","FI00","","",100
"FI0900137","FI00","","",100
"FI0900139","FI16","","",100
"FI0900141","FI00","","",100
"FI0900143","FI00","","",100
"FI0900145","FI00","","",100
"FI1000005","FI00","","",96
"FI1000007","FI00","","",10
"FI1000007","FI16","","",90
"FI1000010","FI00","","",100
"FI1000017","FI14","","",40
"FI1000025","FI00","","",100
"FI1000059","FI00","","",100
"FI1001001","FI00","","",24
"FR4301283","FR07","","",4.16
"FR4301283","FR12","","",14.13
"FR4301283","FR12","Lac de Remoray à Labergement Sainte Marie","+",100
"FR4301283","FR12","Lac Saint Point aux Grangettes","*",10
"FR4301283","FR15","","",93.96
"FR4211807","FR23","FD des deux lacs, de Guebwiller, d'Herrenberg","",2
"FR4211807","FR24","","",12
"FR4211807","FR24","FC de Metzeral, Munster,...","",12
"FR4211808","FR23","Forêt domaniale de Colmar","",1
"FR4211809","FR23","","",100
"FR4211810","FR19","Forêts du Rhin","",36
"FR4211811","FR11","","",23
"FR4211811","FR12","Embouchure de la Sauer","",12
"FR4211811","FR19","","",12
"FR4211811","FR19","Réserve de chasse et de faune du Rhin","",12
"FR4211812","FR03","Réserve de chasse de la vallée du Rhin","",76
"FR4211812","FR12","","",2
"FR4211812","FR12","Petite Camargue alsacienne","",2
"FR4211814","FR23","FD d'Engenthal, du Donon et de Lutzelhouse","+",80
"FR4212813","FR04","Ried de Sélestat, l'Illwald","",40
"FR4212813","FR08","Muttersholtz","",0
"FR4212813","FR23","Forêt domaniale de Sélestat","",2
"FR4212813","FR24","Forêts communalrs de Sélestat, Muttersholtz...","",37
"FR4213813","FR31","Site acquis par le conservatoire des sites alsaciens","",0
"FR4301280","FR05","","",44
"FR4301280","FR12","","",5
"FR4301280","FR12","TOURBIERE ET MARAIS DE L'ECOULANS A BOUVERANS","*",1
"FR4301282","FR12","TOURBIERE DE MOUTHE","*",20
"FR4301282","FR15","","",100
"FR4301283","","La Bonavette","*",95
"FR4301283","","Lac Saint Point","*",52
"FR4301283","FR00","","",23.9
"FR4301283","FR03","Lac de Remoray","*",94
"FR7200693","FR12","Chateau de Malle et parc","/",
"FR7200693","FR12","Site du Sauternais","*",
"FR7200693","FR15","Landes de Gascogne","*",0
"FR7200694","FR00","","",100
"FR7200695","FR00","","",100
"FR7200696","FR20","","",100
"FR7200697","FR03","","",60
"FR7200697","FR12","Site inscrit Etangs girondins","*",95
"FR7200697","FR32","","",10
"FR7200700","FR03","Frayère d'Alose","*",0
"FR7200700","FR05","COURS DE LA GARONNE, DE L'AVEYRON, DU VIAUR ET DU TARN","/",0
"FR7200702","FR23","Dorêt domaniale de la Teste de Buch","/",0
"FR7200703","FR14","","",10
"FR7200703","FR23","","",50
"FR7200705","FR00","","",100
"FR4301283","FR15","Haut-Jura","*",1
"FR4301283","IN01","LAC DE REMORAY","+",48
"FR4301290","FR05","","",0.9
"FR4301290","FR15","","",99
"FR4301291","FR12","LA LOUE ET SES RIVES A RENNES-SUR-LOUE","+",0
"FR4301291","FR12","SITE DES ROCHERS DE HAUTEPIERRE-LE-CHATELET","+",0
"FR4301291","FR12","SITE DU VILLAGE DE MOUTIER-HAUTE-PIERRE","*",3
"FR4301291","FR13","","",77
"FR4301291","FR13","VIEUX PONT DE VUILLAFANS ET IMMEUBLES L'AVOIS","+",0
"FR4301294","FR12","","",0
"FR4301294","FR12","ROCHERS DU CHATARD ET CUSANCIN A BAUME-LES-DA","*",0
"FR4301294","FR12","SOURCES D'ARCIER A VAIRE-ARCIER","*",0
"FR4301294","FR12","SOURCES DU CUSANCIN ET LEURS ABORDS A CUSANCE","*",0
"FR4301294","FR13","","",12
"FR4301294","FR13","VALLEE DU CUSANCIN","*",12
"FR4301298","FR12","ROCHES DU BOURBET AUX BRESEUX","+",0
"FR4301298","FR12","RUISSEAU DU VAL A PIERREFONTAINE-LES-VARANS","*",0
"FR4301304","FR05","Falaises et forêts","*",41
"FR4301304","FR24","","",54
